fdc_id,food_name,calories,protein,carbs,fat,fiber,sugar,sodium
329370,"Cheese, mozzarella, low moisture, part-skim",298.0,23.7,4.44,20.4,,,699.0
329490,"Egg, whole, dried",576.0,48.1,1.87,39.8,,,485.0
329596,"Egg, yolk, raw, frozen, pasteurized",297.0,15.6,0.59,25.1,,,66.0
329716,"Egg, yolk, dried",654.0,34.2,1.07,55.5,,,149.0
329830,"Cheese, dry white, queso seco",326.0,24.5,2.07,24.3,,,1810.0
330137,"Yogurt, Greek, plain, nonfat",61.0,10.3,3.64,0.37,,,36.0
330415,"Yogurt, Greek, strawberry, nonfat",83.0,8.06,12.2,0.15,0.6,,32.0
330458,"Oil, coconut",833.0,0.0,0.84,99.1,,,0.0
330869,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",220.0,27.1,0.0,11.6,,,90.0
331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",156.0,23.9,0.0,5.95,,,117.0
